amtinstpaidbefduel24m_4187115A,annuity_780A,annuitynextmonth_57A,avginstallast24m_3658937A,avglnamtstart24m_4525187A,avgoutstandbalancel6m_4187114A,avgpmtlast12m_4525200A,credamount_770A,currdebt_22A,currdebtcredtyperange_828A,disbursedcredamount_1113A,downpmt_116A,inittransactionamount_650A,lastapprcommoditycat_1041M,lastapprcommoditytypec_5251766M,lastapprcredamount_781A,lastcancelreason_561M,lastotherinc_902A,lastotherlnsexpense_631A,lastrejectcommoditycat_161M,lastrejectcommodtypec_5251769M,lastrejectcredamount_222A,lastrejectreason_759M,lastrejectreasonclient_4145040M,maininc_215A,maxannuity_159A,maxannuity_4075009A,maxdebt4_972A,maxinstallast24m_3658928A,maxlnamtstart6m_4525199A,maxoutstandbalancel12m_4187113A,maxpmtlast3m_4525190A,previouscontdistrict_112M,price_1097A,sumoutstandtotal_3546847A,sumoutstandtotalest_4493215A,totaldebt_9A,totalsettled_863A,totinstallast1m_4525188A,description_5085714M,education_1103M,education_88M,maritalst_385M,maritalst_893M,pmtaverage_3A,pmtaverage_4527227A,pmtaverage_4955615A,pmtssum_45A
43026.277,11445.2,0.0,4268.0,,-806.96,5188.8003,200000.0,0.0,0.0,200000.0,0.0,,a55475b1,a55475b1,0.0,a55475b1,,,a55475b1,a55475b1,0.0,P99_56_166,P94_109_143,,434744.22,,38470.0,7721.0,38470.0,3798.274,,P115_26_169,,0.0,0.0,0.0,537586.9,,2fc785b2,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,
,1466.6,0.0,,,,,20000.0,0.0,0.0,20000.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,10200.0,a55475b1,a55475b1,,0.0,,0.0,,,,,a55475b1,,,,0.0,0.0,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,5062.4
14987.2,6550.0,0.0,3746.6,,5590.0,3746.6,78598.0,0.0,0.0,78598.0,0.0,,P53_45_92,P200_75_140,44960.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,60000.0,11240.0,,74096.0,3746.8,44960.0,33720.0,3745.2,P62_144_102,78598.0,0.0,0.0,0.0,185800.4,,2fc785b2,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,
14756.0,2213.8,0.0,3689.0,,5070.0,3689.0,11158.0,0.0,0.0,11158.0,0.0,,P12_6_178,a55475b1,14756.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,13000.0,8000.0,,48009.2,3689.0,14756.0,14760.0,3689.0,P41_138_103,11158.0,0.0,0.0,0.0,106175.45,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,14254.8,
,1443.4,0.0,,,,,25978.0,0.0,0.0,25978.0,0.0,,a55475b1,a55475b1,,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,,,,,,,,,a55475b1,25978.0,,,0.0,0.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,48397.402
27373.8,4390.0,1282.8,3184.0,,10404.734,3184.0,76037.0,7551.4,7551.4,76037.0,0.0,,P159_130_59,a55475b1,12998.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,72000.0,7000.0,,22093.896,6986.8003,16753.4,20980.0,1282.8,P131_33_167,76037.0,7551.4,7551.4,7551.4,28820.0,2565.6,a55475b1,6b2ae0fa,a55475b1,a7fcb6e5,a55475b1,,,,2496.924
15667.4,4652.8003,2238.2,2238.2,,58163.574,,24100.0,51435.0,51435.0,24100.0,4000.0,,P148_110_5,a55475b1,50704.402,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,138000.0,2300.0,,53684.402,2238.2,,67135.0,,P123_6_84,28100.0,51435.0,,51435.0,21174.4,,a55475b1,6b2ae0fa,a55475b1,3439d993,a55475b1,,,,10634.2
,1832.8,1093.0,1094.8,,,,15200.0,2171.4001,2171.4001,15200.0,0.0,,P159_130_59,a55475b1,7280.0,a55475b1,,,a55475b1,a55475b1,,a55475b1,a55475b1,21000.0,1100.0,,8344.8,1094.8,,,,P11_36_178,15200.0,2171.4001,,2171.4001,7680.0,,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,0.0
0.0,3680.2,0.0,,,,,76170.0,0.0,0.0,76170.0,0.0,,P53_45_92,a55475b1,16070.2,P94_109_143,,,a55475b1,a55475b1,10000.0,P99_56_166,P94_109_143,18000.0,11933.972,,12510.0,,,,,a55475b1,76170.0,0.0,0.0,0.0,39699.0,,a55475b1,717ddd49,a55475b1,a7fcb6e5,a55475b1,,,,3072.8
10454.4,4218.4,0.0,1306.8,,19796.115,1306.8,81768.0,18035.201,0.0,81768.0,0.0,,P12_6_178,a55475b1,28489.6,P94_109_143,,,P159_130_59,a55475b1,72396.0,P45_84_106,P94_109_143,50000.0,2400.0,,28489.6,1306.8,42800.0,28489.6,1306.8,P98_137_111,81768.0,16489.6,16489.6,18035.201,12000.0,2613.6,a55475b1,a55475b1,a55475b1,a55475b1,a55475b1,,,,
